Player,Age,Team,League,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Height,Weight,Wingspan,DraftPos
Zaccharie Risacher,19,Bourg,LNB Élite,F,32,22.0,3.3,7.5,0.439,1.2,3.4,0.352,2.1,4.1,0.511,0.519,2.3,3.1,0.740,1.2,2.6,3.8,0.9,0.8,0.3,1.3,2.4,10.1,80,200,81.5,1
Alex Sarr,19,Perth,NBL,C,24,17.2,3.7,7.1,0.520,0.6,2.0,0.298,3.1,5.2,0.605,0.563,1.7,2.3,0.714,1.4,3.0,4.4,0.9,0.5,1.3,1.1,1.4,9.7,83.75,224,88.25,2
Reed Sheppard,19,Kentucky,NCAA,G,33,28.9,4.3,8.0,0.536,2.3,4.4,0.521,2.0,3.6,0.555,0.679,1.6,2.0,0.831,0.4,3.8,4.1,4.5,2.5,0.7,2.0,1.9,12.5,73.75,181.6,75.25,3
Stephon Castle,18,Connecticut,NCAA,G,34,27.0,4.0,8.5,0.472,0.6,2.2,0.267,3.4,6.3,0.544,0.507,2.4,3.2,0.755,1.7,3.0,4.7,2.9,0.8,0.5,1.5,2.4,11.1,77.5,210,81,4
Ron Holland,18,GLI,G League,F,14,33.6,6.9,15.6,0.445,0.9,3.6,0.240,6.1,12.0,0.506,0.471,3.8,5.0,0.757,1.5,5.1,6.6,3.0,2.5,0.6,2.9,3.3,20.6,78.5,196.8,82.75,5
Tidjane Salaun,18,Cholet,LNB Élite,F,33,22.7,2.9,7.9,0.373,1.4,4.2,0.329,1.5,3.6,0.425,0.456,1.7,2.2,0.767,1.4,2.7,4.0,1.0,1.2,0.2,1.5,2.5,9.0,80.75,217.4,85.5,6
Donovan Clingan,20,Connecticut,NCAA,C,35,22.5,5.3,8.3,0.639,0.1,0.2,0.250,5.3,8.1,0.650,0.643,2.3,4.0,0.583,2.5,4.9,7.4,1.5,0.5,2.5,0.8,2.0,13.0,85.75,282,90.75,7
Rob Dillingham,19,Kentucky,NCAA,G,32,23.3,5.4,11.3,0.475,2.0,4.5,0.444,3.4,6.8,0.495,0.564,2.4,3.1,0.796,0.3,2.7,2.9,3.9,1.0,0.1,2.0,2.6,15.2,73,164.2,75,8
Zach Edey,22,Purdue,NCAA,C,39,32.0,8.6,13.8,0.623,0.0,0.1,0.500,8.6,13.8,0.624,0.624,7.9,11.2,0.711,4.6,7.5,12.2,2.0,0.3,2.2,2.3,1.9,25.2,87.75,299,94.75,9
Cody Williams,19,Colorado,NCAA,F,24,28.4,4.5,8.1,0.552,0.7,1.7,0.415,3.8,6.4,0.588,0.595,2.3,3.2,0.714,0.7,2.3,3.0,1.6,0.6,0.7,2.0,2.0,11.9,78.5,178.4,85,10
Matas Buzelis,19,GLI,G League,F,26,32.0,5.4,12.1,0.448,0.9,3.4,0.273,4.5,8.7,0.515,0.483,1.5,2.2,0.679,1.9,5.0,6.9,2.0,0.8,2.1,2.2,2.6,14.3,80.75,197,82,11
Nikola Topic,18,Mega,ABA,G,12,33.8,6.7,12.8,0.523,1.2,4.5,0.259,5.5,8.3,0.667,0.570,3.9,4.6,0.855,0.8,2.8,3.6,7.1,1.0,0.2,3.2,3.8,18.4,77.75,200,77.5,12
Devin Carter,22,Providence,NCAA,G,33,35.3,6.6,14.0,0.473,2.5,6.8,0.377,4.1,7.3,0.563,0.564,3.9,5.2,0.749,1.0,7.7,8.7,3.6,1.8,1.0,2.7,1.9,19.7,74.25,193,80.75,13
Bub Carrington,18,Pittsburgh,NCAA,G,33,33.2,4.8,11.7,0.412,2.0,6.1,0.322,2.8,5.6,0.511,0.496,2.2,2.8,0.785,0.5,4.7,5.2,4.1,0.6,0.2,1.9,2.4,13.8,75.75,194.8,80,14
Kel'el Ware,20,Indiana,NCAA,C,30,32.2,6.3,10.7,0.586,0.6,1.3,0.425,5.7,9.4,0.609,0.612,2.8,4.5,0.634,2.1,7.8,9.9,1.5,0.6,1.9,1.6,2.0,15.9,83.75,230,88.5,15
Jared McCain,20,Duke,NCAA,G,36,31.6,4.9,10.5,0.462,2.4,5.8,0.414,2.4,4.7,0.521,0.577,2.1,2.4,0.885,0.8,4.2,5.0,1.9,1.1,0.1,1.3,1.6,14.3,74,203.2,75.5,16
Dalton Knecht,23,Tennessee,NCAA,G,36,30.6,7.3,16.0,0.458,2.6,6.5,0.397,4.8,9.5,0.499,0.538,4.4,5.7,0.772,0.8,4.1,4.9,1.8,0.7,0.6,1.7,1.8,21.7,77.25,212.2,81,17
Tristan Da Silva,23,Colorado,NCAA,F,34,33.8,5.8,11.8,0.493,1.9,4.8,0.395,3.9,7.0,0.559,0.573,2.5,3.0,0.835,0.9,4.1,5.1,2.4,1.1,0.6,1.8,2.0,16.0,80.25,216.8,82.25,18
Ja'Kobe Walter,19,Baylor,NCAA,G,35,32.3,4.1,10.9,0.376,2.1,6.3,0.341,2.0,4.7,0.423,0.474,4.1,5.2,0.792,1.3,3.1,4.4,1.4,1.1,0.2,1.3,2.1,14.5,76.25,197.6,82,19
Jaylon Tyson,21,California,NCAA,G,31,34.3,7.2,15.4,0.465,1.6,4.5,0.360,5.5,10.9,0.509,0.518,3.6,4.6,0.796,1.6,5.1,6.8,3.5,1.2,0.5,3.1,2.1,19.6,77.5,218.2,80,20
Yves Missi,20,Baylor,NCAA,F,34,22.9,4.1,6.7,0.614,0.0,0.0,,4.1,6.7,0.614,0.614,2.5,4.1,0.616,2.6,3.0,5.6,0.4,0.6,1.5,1.1,2.4,10.7,82.75,229.4,86,21
DaRon Holmes II,21,Dayton,NCAA,F,33,32.5,6.6,12.1,0.544,1.0,2.5,0.386,5.6,9.6,0.585,0.584,6.2,8.8,0.713,1.7,6.8,8.5,2.6,0.9,2.1,2.2,2.0,20.4,80.75,236.2,85,22
AJ Johnson,19,Illawarra,NBL,G,25,7.9,1.1,3.0,0.355,0.3,1.1,0.286,0.8,1.9,0.396,0.417,0.3,0.5,0.538,0.3,1.0,1.3,0.7,0.2,0.1,0.6,0.8,2.8,76.25,167,80.5,23
Kyshawn George,20,Miami,NCAA,G,31,23.0,2.6,6.1,0.426,1.7,4.2,0.408,0.9,1.9,0.467,0.566,0.7,0.9,0.778,0.5,2.6,3.0,2.2,0.9,0.4,1.5,1.8,7.6,79,208.8,82.25,24
Pacome Dadiet,18,Ulm,EuroCup,G,18,14.9,2.3,5.2,0.452,0.8,2.5,0.311,1.6,2.7,0.583,0.519,1.0,1.4,0.720,0.6,1.0,1.6,0.3,0.6,0.2,0.9,1.6,6.4,79.75,216.8,81,25
Dillon Jones,22,Weber State,NCAA,F,31,37.0,6.9,14.2,0.489,1.1,3.4,0.324,5.8,10.8,0.540,0.527,5.8,6.8,0.857,0.8,9.0,9.8,5.2,2.0,0.1,3.0,2.3,20.8,76.5,236.8,83,26
Terrence Shannon Jr.,23,Illinois,NCAA,G,32,33.9,6.8,14.4,0.475,2.4,6.7,0.362,4.4,7.8,0.573,0.559,6.9,8.6,0.801,0.8,3.2,4.0,2.3,1.0,0.9,2.0,2.2,23.0,77.75,219.4,80.75,27
Ryan Dunn,21,Virginia,NCAA,G,34,27.5,3.4,6.1,0.548,0.2,1.0,0.200,3.1,5.1,0.618,0.565,1.2,2.3,0.532,2.2,4.7,6.9,0.8,1.3,2.3,0.8,2.1,8.1,78.25,213.6,85.5,28
Isaiah Collier,19,Southern California,NCAA,G,27,30.0,5.7,11.6,0.490,1.0,3.0,0.338,4.7,8.7,0.543,0.533,3.9,5.8,0.673,0.6,2.3,2.9,4.3,1.5,0.2,3.3,2.4,16.3,74.5,204.6,76.75,29
Baylor Scheierman,23,Creighton,NCAA,G,35,36.8,6.3,14.0,0.448,3.1,8.3,0.381,3.1,5.7,0.545,0.560,2.8,3.2,0.876,0.7,8.3,9.0,3.9,0.9,0.1,2.2,1.7,18.5,78.25,201.6,80.25,30
Jonathan Mogbo,23,San Francisco,NCAA,F,34,28.9,6.1,9.5,0.636,0.0,0.1,0.000,6.1,9.5,0.640,0.636,2.1,3.1,0.692,3.3,6.8,10.1,3.6,1.6,0.8,1.8,2.6,14.2,78.25,217.2,86,31
Kyle Filipowski,20,Duke,NCAA,C,36,30.4,6.1,12.1,0.505,1.1,3.1,0.348,5.0,9.0,0.559,0.549,3.1,4.6,0.671,2.2,6.1,8.3,2.8,1.1,1.5,2.1,3.0,16.4,82.75,229.8,82.5,32
Tyler Smith,19,GLI,G League,F,27,22.0,4.7,9.9,0.481,1.4,4.0,0.364,3.3,5.9,0.560,0.545,1.4,1.9,0.725,1.6,3.5,5.1,1.1,0.7,1.0,1.2,2.6,13.4,81,223.8,85,33
Tyler Kolek,23,Marquette,NCAA,G,31,33.0,5.6,11.3,0.496,1.5,3.9,0.388,4.1,7.4,0.552,0.563,2.6,3.0,0.851,0.7,4.2,4.9,7.7,1.6,0.2,2.9,1.0,15.3,73.25,196.6,74.75,34
Johnny Furphy,19,Kansas,NCAA,G,33,24.1,2.9,6.2,0.466,1.3,3.8,0.352,1.6,2.5,0.642,0.573,1.9,2.5,0.765,1.3,3.6,4.9,1.0,0.9,0.3,0.8,2.1,9.0,79.5,188.8,80,35
Juan Nunez,20,Barça,EuroLeague,G,25,15.6,2.0,4.5,0.442,0.4,1.6,0.275,1.6,2.9,0.534,0.489,0.5,0.8,0.650,0.6,1.9,2.5,3.4,0.8,0.0,1.3,2.1,5.0,76,205.6,78.5,36
Bobi Klintman,21,Cairns,NBL,F,23,21.3,3.2,7.3,0.443,1.3,3.7,0.357,1.9,3.6,0.530,0.527,2.0,2.5,0.793,0.7,4.1,4.8,0.7,0.8,0.5,1.6,2.7,9.7,80.75,212.2,83,37
Ajay Mitchell,22,UC Santa Barbara,NCAA,G,29,31.5,6.7,13.3,0.504,1.1,2.9,0.393,5.6,10.4,0.535,0.547,5.4,6.3,0.858,0.2,3.8,4.0,4.0,1.2,0.4,2.6,2.6,20.0,75.25,197,78.25,38
Jaylen Wells,21,Washington State,NCAA,F,34,29.2,4.1,9.4,0.436,2.1,4.9,0.417,2.0,4.4,0.457,0.545,2.3,2.9,0.814,1.2,3.4,4.6,1.2,0.5,0.2,0.7,1.9,12.6,78.5,206.2,79.25,39
Oso Ighodaro,21,Marquette,NCAA,F,36,32.5,5.4,9.4,0.576,0.0,0.1,0.000,5.4,9.4,0.580,0.576,2.5,4.1,0.623,2.6,4.3,6.9,2.9,1.1,1.3,1.8,2.2,13.4,81.5,222,83,40
Adem Bona,21,UCLA,NCAA,F,33,26.5,4.6,7.9,0.588,0.0,0.0,0.000,4.6,7.8,0.591,0.588,3.1,4.5,0.696,2.0,3.9,5.9,1.2,1.1,1.8,2.5,3.6,12.4,80.25,243.2,87.75,41
KJ Simpson,21,Colorado,NCAA,G,37,35.1,6.6,13.8,0.475,2.1,4.9,0.434,4.4,8.9,0.497,0.552,4.4,5.0,0.876,0.8,5.1,5.8,4.9,1.6,0.1,2.2,2.5,19.7,72.25,187,76.5,42
Nikola Djurisic,20,Mega,ABA,F,26,30.7,4.9,10.8,0.454,1.2,3.7,0.330,3.7,7.0,0.519,0.509,3.4,4.6,0.739,0.3,2.4,2.7,3.4,1.0,0.4,3.2,2.7,14.4,79,208.8,80,43
Pelle Larsson,23,Arizona,NCAA,G,36,30.1,4.5,8.7,0.519,1.3,3.0,0.426,3.3,5.7,0.568,0.592,2.4,3.2,0.750,1.1,3.0,4.1,3.7,0.9,0.2,1.9,2.6,12.8,77.25,212.4,79.5,44
Jamal Shead,22,Houston,NCAA,G,37,31.1,4.8,11.7,0.409,1.2,3.8,0.309,3.6,7.9,0.456,0.458,2.2,2.8,0.779,0.9,2.8,3.7,6.3,2.2,0.5,2.0,2.0,12.9,72.25,200.8,75,45
Cam Christie,19,Minnesota,NCAA,G,33,30.1,3.8,9.4,0.403,2.1,5.4,0.391,1.7,4.0,0.420,0.516,1.6,2.0,0.791,0.2,3.4,3.6,2.2,0.6,0.3,1.2,1.6,11.3,76.5,190.4,80,46
Antonio Reeves,24,Kentucky,NCAA,G,33,31.4,7.1,13.9,0.512,2.5,5.7,0.447,4.6,8.2,0.557,0.603,3.4,4.0,0.863,0.7,3.4,4.2,1.6,0.7,0.2,1.2,1.8,20.2,76.5,186.6,80.25,47
Harrison Ingram,21,North Carolina,NCAA,F,37,32.8,4.4,10.2,0.430,1.8,4.6,0.385,2.6,5.7,0.467,0.516,1.6,2.6,0.612,2.6,6.2,8.8,2.2,1.4,0.4,1.4,1.9,12.2,77.25,233.6,84.25,48
Tristen Newton,23,Connecticut,NCAA,G,40,33.2,4.6,11.0,0.415,1.8,5.5,0.321,2.8,5.5,0.509,0.495,4.2,5.2,0.808,1.4,5.2,6.6,6.2,0.9,0.3,2.5,1.8,15.1,75.25,191.8,78.75,49
Enrique Freeman,23,Akron,NCAA,F,35,32.5,6.7,11.4,0.584,0.6,1.5,0.370,6.1,9.9,0.617,0.609,4.7,6.5,0.728,3.6,9.4,12.9,1.6,0.8,1.7,2.5,2.8,18.6,79.5,215,86,50
Melvin Ajinca,20,Saint-Quentin BB,LNB Élite,F,28,24.6,3.0,8.0,0.375,1.6,5.3,0.309,1.4,2.7,0.507,0.475,1.7,2.1,0.797,1.0,2.3,3.3,0.8,0.5,0.0,0.6,2.2,9.3,79.25,213.8,79.5,51
Quinten Post,24,Boston College,NCAA,F,35,31.9,6.3,12.3,0.514,1.4,3.3,0.431,4.9,9.0,0.544,0.572,2.9,3.5,0.821,2.0,6.1,8.1,2.9,0.9,1.7,2.5,2.9,17.0,84,244.4,86.5,52
Cam Spencer,24,Connecticut,NCAA,G,40,33.0,4.9,10.1,0.484,2.5,5.6,0.440,2.4,4.5,0.539,0.606,2.1,2.3,0.911,1.1,3.8,4.9,3.6,1.5,0.3,1.0,2.2,14.3,75,201.8,77,53
Anton Watson,23,Gonzaga,NCAA,F,35,31.3,5.8,10.0,0.578,0.6,1.5,0.412,5.2,8.6,0.607,0.608,2.3,3.5,0.653,2.2,4.9,7.1,2.6,1.5,0.7,1.4,2.3,14.5,79.5,233.4,84,54
Bronny James,19,Southern California,NCAA,G,25,19.3,1.6,4.5,0.366,0.6,2.4,0.267,1.0,2.1,0.481,0.438,0.9,1.4,0.676,0.3,2.6,2.8,2.1,0.8,0.2,1.1,1.7,4.8,73.5,210.4,79.25,55
Kevin McCullar Jr.,23,Kansas,NCAA,G,26,34.2,6.1,13.5,0.454,1.5,4.5,0.333,4.6,9.0,0.515,0.510,4.6,5.7,0.805,0.8,5.2,6.0,4.1,1.5,0.4,2.5,1.9,18.3,77.25,205.8,81,56
Ulrich Chomche,18,NBA Academy Africa,International,C,3,30.0,4.7,11.0,0.424,2.7,7.0,0.381,2.0,4.0,0.500,0.550,1.0,1.3,0.750,3.0,6.0,9.0,3.3,1.3,2.7,5.0,1.0,13.0,83.5,232,88,57
Ariel Hukporti,22,Melbourne,NBL,C,28,18.4,3.2,5.4,0.596,0.0,0.0,,3.2,5.4,0.596,0.593,2.0,3.2,0.618,2.4,4.6,7.0,0.7,0.6,1.5,1.7,2.9,8.4,82.75,246.2,86.5,58
Isaac Jones,24,Washington State,NCAA,F,35,31.7,5.7,9.9,0.575,0.0,0.4,0.071,5.7,9.5,0.596,0.577,3.9,5.5,0.712,2.3,5.3,7.6,1.5,0.5,1.1,1.9,2.0,15.3,80,237,87.5,Undrafted
Branden Carlson,25,Utah,NCAA,C,36,29.6,6.4,12.9,0.501,1.8,4.7,0.379,4.7,8.2,0.571,0.570,2.4,3.3,0.714,1.5,5.1,6.6,1.6,0.4,1.5,1.5,1.9,17.0,83.75,206,85,Undrafted
Keaton Wallace,22,UTSA,NCAA,G,26,33.6,6.0,14.4,0.420,2.3,7.1,0.319,3.8,7.3,0.519,0.499,2.4,3.1,0.788,0.6,4.9,5.5,3.4,1.0,0.3,2.2,2.1,16.8,75,195,79,Undrafted
Jamison Battle,23,Ohio State,Big Ten,F,35,31.4,5.1,10.9,0.469,2.6,6.0,0.433,2.5,4.9,0.512,0.588,2.5,2.7,0.926,1.2,4.0,5.2,1.4,0.4,0.2,1.6,2.0,15.3,79.25,218,81,Undrafted
Justin Edwards,20,Kentucky,SEC,G,32,21.4,3.3,6.8,.486,1.0,2.7,.365,2.3,4.2,.564,.557,1.2,1.5,.776,1.2,2.2,3.4,0.9,0.9,0.2,0.8,2.2,8.8,78,209.4,82,Undrafted
